"tract","Name","Incarceration_Rate_rP_gP_pall"
6037201503,"Northeast Los Angeles, Los Angeles, CA",0.0139
6037553100,"Bellflower, CA",0.0139
6037570701,"Lakewood Mutual, Lakewood, CA",0.0139
6037530902,"Los Angeles, CA",0.0139
6037271901,"Mar Vista, Los Angeles, CA",0.0139
6037532800,"South Los Angeles, Los Angeles, CA",0.0139
6037603005,"Gardena, CA",0.0139
6037601002,"Inglewood, CA",0.0139
6037199201,"Montecito Heights, Los Angeles, CA",0.0138
6037204120,"Central LA, Los Angeles, CA",0.0138
6037554406,"Bellflower, CA",0.0138
6037221220,"Central LA, Los Angeles, CA",0.0138
6037209810,"Central LA, Los Angeles, CA",0.0138
6037604100,"Lawndale, CA",0.0138
6037530801,"Los Angeles, CA",0.0138
6037554515,"Cerritos, CA",0.0138
6037534001,"South Montebello, Bell Gardens, CA",0.0137
6037227010,"South Los Angeles, Los Angeles, CA",0.0137
6037600802,"Morningside Park, Inglewood, CA",0.0136
6037534302,"Cudahy, CA",0.0136
6037195400,"Silver Lake, Los Angeles, CA",0.0136
6037554405,"Bellflower, CA",0.0135
6037212420,"Central LA, Los Angeles, CA",0.0134
6037237202,"South Los Angeles, Los Angeles, CA",0.0134
6037201501,"Northeast Los Angeles, Los Angeles, CA",0.0134
6037504101,"La Mirada, CA",0.0134
6037265410,"Los Angeles, CA",0.0134
6037550901,"Downey, CA",0.0134
6037535607,"South Gate, CA",0.0133
6037221302,"Central LA, Los Angeles, CA",0.0132
6037205120,"Central LA, Los Angeles, CA",0.0132
6037532002,"South Montebello, Montebello, CA",0.0132
6037601100,"Inglewood, CA",0.0132
6037602508,"Hawthorne, CA",0.0132
6037600911,"Inglewood, CA",0.0132
6037553901,"Paramount, CA",0.0131
6037192620,"Central LA, Los Angeles, CA",0.0131
6037550500,"Downey, CA",0.0131
6037191720,"Central LA, Los Angeles, CA",0.013
6037191901,"Central LA, Los Angeles, CA",0.013
6037201602,"Northeast Los Angeles, Los Angeles, CA",0.013
6037536200,"South Gate, CA",0.013
6037194401,"Beverly Grove, Los Angeles, CA",0.013
6037553000,"Norwalk, CA",0.0129
6037231100,"South Los Angeles, Los Angeles, CA",0.0129
6037433305,"El Monte, CA",0.0129
6037535804,"South Gate, CA",0.0129
6037540102,"Lynwood, CA",0.0128
6037433700,"South El Monte, CA",0.0128
6037534404,"Cudahy, CA",0.0128
6037228500,"South Figueroa Corridor, Los Angeles, CA",0.0128
6037553802,"Paramount, CA",0.0127
6037601212,"Inglewood, CA",0.0127
6037570002,"Lakewood, CA",0.0127
6037602106,"Hawthorne, CA",0.0127
6037204300,"Boyle Heights, Los Angeles, CA",0.0126
6037532302,"South Montebello, Los Angeles, CA",0.0126
6037231600,"South Los Angeles, Los Angeles, CA",0.0126
6037222001,"Jefferson, Los Angeles, CA",0.0126
6037201301,"Montecito Heights, Los Angeles, CA",0.0126
6037218210,"Central LA, Los Angeles, CA",0.0126
6037207502,"Downtown, Los Angeles, CA",0.0126
6037534405,"Cudahy, CA",0.0126
6037533702,"Maywood, CA",0.0126
6037208000,"Central LA, Los Angeles, CA",0.0126
6037533603,"Bell, CA",0.0125
6037533501,"Huntington Park, CA",0.0125
6037208904,"Central LA, Los Angeles, CA",0.0125
6037533806,"Bell, CA",0.0124
6037219300,"Jefferson, Los Angeles, CA",0.0124
