"tract","Name","Fraction_Married_rP_gP_pall"
6037192620,"Central LA, Los Angeles, CA",0.3593
6037702300,"Sunset Park, Santa Monica, CA",0.359
6037551401,"Downey, CA",0.3589
6037271801,"Palms, Los Angeles, CA",0.3583
6037207103,"Central LA, Los Angeles, CA",0.3582
6037502401,"El Rancho, Pico Rivera, CA",0.3581
6037432300,"El Monte City, El Monte, CA",0.3578
6037535902,"South Gate, CA",0.3574
6037432700,"El Monte City, El Monte, CA",0.3572
6037267600,"Sawtelle, Los Angeles, CA",0.3571
6037204110,"Boyle Heights, Los Angeles, CA",0.3567
6037191901,"Central LA, Los Angeles, CA",0.3567
6037481902,"Alhambra, CA",0.3564
6037433102,"El Monte City, El Monte, CA",0.3562
6037433503,"El Monte City, South El Monte, CA",0.3561
6037602402,"Hawthorne, CA",0.3558
6037271701,"Palms, Los Angeles, CA",0.3556
6037434003,"El Monte, CA",0.3556
6037212410,"Central LA, Los Angeles, CA",0.3553
6037533001,"South Los Angeles, Los Angeles, CA",0.3552
6037211122,"Central LA, Los Angeles, CA",0.3552
6037604100,"Lawndale, CA",0.3551
6037206010,"Central LA, Los Angeles, CA",0.3549
6037603900,"Lawndale, CA",0.3549
6037503202,"East Whitter, Whittier, CA",0.3547
6037211921,"Central LA, Los Angeles, CA",0.3543
6037554301,"Bellflower, CA",0.3542
6037482201,"Monterey Park, CA",0.3538
6037197300,"Echo Park, Los Angeles, CA",0.3535
6037208501,"Central LA, Los Angeles, CA",0.3532
6037226001,"South Los Angeles, Los Angeles, CA",0.3529
6037551101,"Downey, CA",0.3527
6037530006,"South Montebello, Montebello, CA",0.3525
6037212620,"Central LA, Los Angeles, CA",0.3524
6037572301,"Arlington, Long Beach, CA",0.3519
6037555103,"Lakewood, CA",0.3516
6037543306,"Carson, CA",0.3515
6037432402,"El Monte City, El Monte, CA",0.3514
6037482502,"Garvey, Rosemead, CA",0.3512
6037212304,"Central LA, Los Angeles, CA",0.351
6037264102,"Brentwood, Los Angeles, CA",0.3508
6037603200,"Gardena, CA",0.3508
6037208620,"Central LA, Los Angeles, CA",0.3507
6037201503,"Northeast Los Angeles, Los Angeles, CA",0.3506
6037267502,"West Los Angeles, Los Angeles, CA",0.3498
6037554002,"Bellflower, CA",0.3495
6037502700,"Santa Fe Springs, CA",0.3495
6037480902,"Alhambra, CA",0.3494
6037500800,"El Rancho, Pico Rivera, CA",0.3493
6037551900,"Norwalk, CA",0.349
6037208610,"Central LA, Los Angeles, CA",0.3486
6037199400,"Mount Washington, Los Angeles, CA",0.3483
6037572002,"Bixby Knolls, Long Beach, CA",0.3483
6037433304,"El Monte, CA",0.3479
6037201601,"Northeast Los Angeles, Los Angeles, CA",0.3478
6037212702,"Central LA, Los Angeles, CA",0.3478
6037482301,"Garvey, San Gabriel, CA",0.3478
6037211922,"Central LA, Los Angeles, CA",0.3478
6037214502,"Central LA, Los Angeles, CA",0.3478
6037195802,"Central LA, Los Angeles, CA",0.3476
6037536200,"South Gate, CA",0.3473
6037433902,"El Monte, CA",0.3472
6037500900,"El Rancho, Pico Rivera, CA",0.347
6037540201,"South Gate, CA",0.3467
6037552601,"Norwalk, CA",0.3465
6037208801,"Central LA, Los Angeles, CA",0.3463
6037433504,"El Monte City, El Monte, CA",0.3463
6037201700,"Northeast Los Angeles, Los Angeles, CA",0.3458
6037212306,"Central LA, Los Angeles, CA",0.3455
6037208710,"Central LA, Los Angeles, CA",0.3454
6037207301,"Central LA, Los Angeles, CA",0.345
6037501504,"Whittier, CA",0.3449
6037604002,"Lawndale, CA",0.3448
6037197200,"Echo Park, Los Angeles, CA",0.3445
6037534501,"Huntington Park, CA",0.3433
6037195804,"Silver Lake, Los Angeles, CA",0.3433
6037533106,"Huntington Park, CA",0.3433
6037209520,"Central LA, Los Angeles, CA",0.3432
6037543903,"Carson, CA",0.3431
6037701502,"Downtown, Santa Monica, CA",0.3428
6037433801,"South El Monte, CA",0.3426
6037192420,"Central LA, Los Angeles, CA",0.3426
6037433901,"El Monte, CA",0.3426
6037535605,"South Gate, CA",0.3426
6037502802,"Santa Fe Springs, CA",0.3425
6037701701,"Mid-City, Santa Monica, CA",0.3425
6037555002,"Lakewood, CA",0.3424
6037570502,"Grant, Long Beach, CA",0.3424
6037571503,"Bixby North, Long Beach, CA",0.3421
6037432601,"El Monte City, El Monte, CA",0.3419
6037601202,"Inglewood, CA",0.3416
6037273402,"Venice, Los Angeles, CA",0.3415
6037206031,"Arts District, Los Angeles, CA",0.3415
6037553802,"Paramount, CA",0.3412
6037273800,"Venice, Los Angeles, CA",0.341
6037535607,"South Gate, CA",0.3408
6037187102,"Atwater Village, Los Angeles, CA",0.3398
6037554104,"Bellflower, CA",0.3395
6037534802,"Huntington Park, CA",0.3394
6037533502,"Huntington Park, CA",0.3392
6037603400,"Gardena, CA",0.339
6037530202,"South Montebello, Montebello, CA",0.3388
6037604001,"Lawndale, CA",0.3387
6037503105,"Whittier, CA",0.3376
6037552001,"Norwalk, CA",0.3374
6037270200,"Palms, Los Angeles, CA",0.3372
6037211120,"Central LA, Los Angeles, CA",0.3371
6037199800,"Northeast Los Angeles, Los Angeles, CA",0.3371
6037531502,"East Los Angeles, CA",0.3363
6037601502,"Inglewood, CA",0.3363
6037291220,"Harbor, Gardena, CA",0.336
6037532500,"Huntington Park, CA",0.336
6037602200,"Los Angeles, CA",0.3354
6037533805,"Bell, CA",0.3354
6037533601,"Bell, CA",0.3353
6037601402,"Inglewood, CA",0.3352
6037221120,"Central LA, Los Angeles, CA",0.3351
6037534404,"Cudahy, CA",0.335
6037197600,"Echo Park, Los Angeles, CA",0.3347
6037702102,"Ocean Park, Santa Monica, CA",0.3346
6037482522,"South Montebello, Montebello, CA",0.3341
6037203800,"Boyle Heights, Los Angeles, CA",0.3341
6037504101,"La Mirada, CA",0.3338
6037544002,"Long Beach, CA",0.3337
6037570100,"Ramona Park, Long Beach, CA",0.3336
6037192410,"Central LA, Los Angeles, CA",0.3336
6037501001,"Whittier, CA",0.3332
6037212101,"Central LA, Los Angeles, CA",0.3331
6037433302,"El Monte, CA",0.3331
6037272201,"Mar Vista, Los Angeles, CA",0.3328
6037701702,"Downtown, Santa Monica, CA",0.3325
6037267501,"West Los Angeles, Los Angeles, CA",0.3324
6037570501,"Jordan, Long Beach, CA",0.3324
6037570601,"Lindbergh, Long Beach, CA",0.3321
6037702502,"Culver City, CA",0.3319
6037531102,"Los Angeles, CA",0.3316
6037553702,"Paramount, CA",0.3312
6037553504,"Paramount, CA",0.3311
6037571701,"North Long Beach, Long Beach, CA",0.3308
6037433802,"South El Monte, CA",0.3307
6037213201,"Central LA, Los Angeles, CA",0.3307
6037553901,"Paramount, CA",0.3306
6037530802,"Los Angeles, CA",0.3303
6037211320,"Central LA, Los Angeles, CA",0.3302
6037213402,"Central LA, Los Angeles, CA",0.3302
6037191500,"Central LA, Los Angeles, CA",0.3301
6037199110,"Montecito Heights, Los Angeles, CA",0.3295
6037204300,"Boyle Heights, Los Angeles, CA",0.3293
6037482701,"South Montebello, Monterey Park, CA",0.3293
6037211803,"Central LA, Los Angeles, CA",0.3292
6037216300,"Central LA, Los Angeles, CA",0.3291
6037433305,"El Monte, CA",0.3291
6037212501,"Central LA, Los Angeles, CA",0.3286
6037702002,"Ocean Park, Santa Monica, CA",0.3284
6037224410,"South Los Angeles, Los Angeles, CA",0.3283
6037271200,"Sawtelle, Los Angeles, CA",0.3276
6037535604,"South Gate, CA",0.3275
6037551300,"Downey, CA",0.3275
6037502601,"El Rancho, Pico Rivera, CA",0.3274
6037503000,"Whittier, CA",0.327
6037212800,"Central LA, Los Angeles, CA",0.327
6037571704,"Addams, Long Beach, CA",0.3267
6037530101,"South Montebello, Montebello, CA",0.3267
6037530102,"South Montebello, Montebello, CA",0.3266
6037532001,"South Montebello, Montebello, CA",0.3264
6037534102,"South Montebello, Bell Gardens, CA",0.3263
6037203720,"Boyle Heights, Los Angeles, CA",0.3263
6037552200,"Norwalk, CA",0.3259
6037482800,"South Montebello, Monterey Park, CA",0.3259
6037203300,"Northeast Los Angeles, Los Angeles, CA",0.3255
6037199201,"Montecito Heights, Los Angeles, CA",0.3252
