"tract","Name","Number_of_Children_rP_gP_pall"
6037482002,"Monterey Park, CA",1412
6037600602,"Inglewood, CA",1408
6037533701,"Maywood, CA",1407
6037502602,"El Rancho, Pico Rivera, CA",1407
6037573601,"South of Conant, Long Beach, CA",1406
6037554518,"Cerritos, CA",1406
6037238100,"South Los Angeles, Los Angeles, CA",1403
6037433307,"El Monte, CA",1399
6037242100,"South Los Angeles, Los Angeles, CA",1392
6037602801,"South Los Angeles, Los Angeles, CA",1392
6037222002,"South Los Angeles, Los Angeles, CA",1391
6037533702,"Maywood, CA",1391
6037502401,"El Rancho, Pico Rivera, CA",1390
6037551101,"Downey, CA",1387
6037432102,"Temple City, CA",1387
6059110102,"La Palma, CA",1386
6037602509,"Hawthorne, CA",1385
6037234600,"Park Mesa Heights, Los Angeles, CA",1385
6037532303,"South Montebello, Commerce, CA",1383
6037502902,"Santa Fe Springs, CA",1381
6037212800,"Central LA, Los Angeles, CA",1377
6037554517,"Cerritos, CA",1371
6037221302,"Central LA, Los Angeles, CA",1370
6037702600,"Culver City, CA",1370
6037503802,"La Mirada, CA",1366
6037552602,"Norwalk, CA",1365
6037620702,"North Redondo, Redondo Beach, CA",1364
6037433306,"El Monte, CA",1364
6037602105,"Hawthorne, CA",1362
6037237800,"South Los Angeles, Los Angeles, CA",1359
6037532606,"Huntington Park, CA",1358
6037227020,"South Los Angeles, Los Angeles, CA",1358
6037218220,"Central LA, Los Angeles, CA",1356
6037531604,"East Los Angeles, CA",1356
6037540600,"South Los Angeles, Los Angeles, CA",1355
6037536000,"South Gate, CA",1354
6037533107,"Huntington Park, CA",1351
6037603802,"Lawndale, CA",1351
6037240402,"South Los Angeles, Los Angeles, CA",1348
6037530902,"Los Angeles, CA",1348
6037602505,"Hawthorne, CA",1348
6037502402,"El Rancho, Pico Rivera, CA",1347
6037551502,"Downey, CA",1346
6037554801,"Artesia, CA",1343
6037234000,"Leimert Park, Los Angeles, CA",1342
6037211910,"Central LA, Los Angeles, CA",1340
6037552001,"Norwalk, CA",1339
6037532603,"Huntington Park, CA",1339
6037481901,"Alhambra, CA",1338
6037192620,"Central LA, Los Angeles, CA",1335
6037530802,"Los Angeles, CA",1333
6037204600,"Boyle Heights, Los Angeles, CA",1331
6037212202,"Central LA, Los Angeles, CA",1329
6037572500,"West Side, Long Beach, CA",1326
6037533805,"Bell, CA",1326
6037433902,"El Monte, CA",1324
6037239601,"South Los Angeles, Los Angeles, CA",1324
6037501503,"Whittier, CA",1323
6037209102,"Central LA, Los Angeles, CA",1322
6059110303,"Buena Park, CA",1320
6037533501,"Huntington Park, CA",1319
6037212620,"Central LA, Los Angeles, CA",1318
6037203710,"Boyle Heights, Los Angeles, CA",1317
6037228900,"Central Alameda, Los Angeles, CA",1315
6037502500,"El Rancho, Pico Rivera, CA",1312
6037534203,"South Montebello, Bell Gardens, CA",1308
6037553400,"Downey, CA",1307
6037482503,"Garvey, Rosemead, CA",1304
6037201700,"Northeast Los Angeles, Los Angeles, CA",1302
6037554406,"Bellflower, CA",1302
6037209103,"Central LA, Los Angeles, CA",1302
6037554404,"Bellflower, CA",1301
6037571703,"Addams, Long Beach, CA",1299
6037204420,"Boyle Heights, Los Angeles, CA",1299
6037211310,"Central LA, Los Angeles, CA",1299
6037502005,"East Whitter, Whittier, CA",1296
6037534700,"Huntington Park, CA",1296
6037231210,"South Los Angeles, Los Angeles, CA",1296
6037650901,"Old Town Torrance, Torrance, CA",1295
6037224600,"South Figueroa Corridor, Los Angeles, CA",1295
6037482304,"Garvey, Rosemead, CA",1292
6037530102,"South Montebello, Montebello, CA",1292
6037572301,"Arlington, Long Beach, CA",1290
6037237102,"South Figueroa Corridor, Los Angeles, CA",1287
6037700600,"Beverly Hills, CA",1286
6037532605,"Huntington Park, CA",1285
6037602900,"Gardena, CA",1282
6037229410,"South Los Angeles, Los Angeles, CA",1281
6037232800,"South Figueroa Corridor, Los Angeles, CA",1280
6037701801,"Pico, Santa Monica, CA",1278
6037554204,"Bellflower, CA",1278
6037554302,"Bellflower, CA",1278
6037482600,"Garvey, Monterey Park, CA",1277
6037620501,"North Redondo, Redondo Beach, CA",1277
6037555104,"Lakewood, CA",1276
6037542106,"East Compton, CA",1276
6037231220,"South Figueroa Corridor, Los Angeles, CA",1275
6037543201,"Compton, CA",1275
6037242000,"South Los Angeles, Los Angeles, CA",1275
6059110304,"Buena Park, CA",1275
6037228210,"South Los Angeles, Los Angeles, CA",1272
6037231400,"Leimert Park, Los Angeles, CA",1272
6037480901,"Alhambra, CA",1271
6037241002,"South Los Angeles, Los Angeles, CA",1268
6037650001,"Torrance, CA",1267
6037620101,"El Segundo, CA",1266
6037551402,"Downey, CA",1265
6037237710,"South Figueroa Corridor, Los Angeles, CA",1263
6037600400,"South Los Angeles, Los Angeles, CA",1262
6059110116,"La Palma, CA",1261
6037232300,"South Los Angeles, Los Angeles, CA",1258
6037231500,"Leimert Park, Los Angeles, CA",1258
6037700902,"Beverly Hills, CA",1257
6037620400,"Manhattan Beach, CA",1255
6037503202,"East Whitter, Whittier, CA",1255
6037542601,"Compton, CA",1252
6037433601,"Garvey, Rosemead, CA",1248
6037532304,"South Montebello, Commerce, CA",1248
6037191810,"Central LA, Los Angeles, CA",1245
6037503902,"La Mirada, CA",1243
6037222100,"South Los Angeles, Los Angeles, CA",1243
6037239201,"South Los Angeles, Los Angeles, CA",1243
6037535400,"South Los Angeles, Los Angeles, CA",1239
6037222200,"South Los Angeles, Los Angeles, CA",1239
6037239801,"South Los Angeles, Los Angeles, CA",1237
6037228320,"South Los Angeles, Los Angeles, CA",1237
6037570003,"Lakewood, CA",1236
6037481712,"Garvey, Monterey Park, CA",1235
6037533403,"Maywood, CA",1234
6037542104,"East Compton, CA",1233
6037237401,"South Los Angeles, Los Angeles, CA",1227
6037542900,"Compton, CA",1225
6037571502,"Bixby North, Long Beach, CA",1224
6037235100,"Park Mesa Heights, Los Angeles, CA",1222
6037234700,"Park Mesa Heights, Los Angeles, CA",1222
6037237720,"South Figueroa Corridor, Los Angeles, CA",1221
6037531902,"South Montebello, East Los Angeles, CA",1218
6037209401,"Central LA, Los Angeles, CA",1217
6037221601,"Jefferson, Los Angeles, CA",1217
6037208620,"Central LA, Los Angeles, CA",1217
6037702801,"Clarkdale, Culver City, CA",1217
6037570001,"Lakewood, CA",1215
6037701201,"North of Montana, Santa Monica, CA",1215
6037433401,"South El Monte, CA",1215
6037551401,"Downey, CA",1214
6037552002,"Norwalk, CA",1213
6037408402,"La Puente, CA",1213
6037213202,"Central LA, Los Angeles, CA",1211
6037219700,"Jefferson, Los Angeles, CA",1209
6037500403,"El Rancho, Pico Rivera, CA",1207
6037540700,"South Los Angeles, Los Angeles, CA",1206
6037620602,"North Redondo, Redondo Beach, CA",1206
6037554511,"Cerritos, CA",1205
6037571900,"Bixby Knolls, Long Beach, CA",1205
6037554522,"Cerritos, CA",1204
6037239602,"South Los Angeles, Los Angeles, CA",1203
6037571101,"Lakewood, CA",1203
6037212900,"Central LA, Los Angeles, CA",1200
6037554001,"Bellflower, CA",1200
6037199120,"Montecito Heights, Los Angeles, CA",1200
6037530400,"Monterey Park, CA",1199
6037208302,"Central LA, Los Angeles, CA",1198
6037543503,"Torrance, CA",1198
6037531502,"East Los Angeles, CA",1196
6037650702,"Southwood, Torrance, CA",1196
6037237402,"South Los Angeles, Los Angeles, CA",1196
6037620301,"Manhattan Beach, CA",1194
6037554201,"Bellflower, CA",1194
6037197300,"Echo Park, Los Angeles, CA",1191
6037221110,"Central LA, Los Angeles, CA",1191
6037503106,"Whittier, CA",1191
6037621201,"South Redondo, Redondo Beach, CA",1190
6037482202,"Garvey, Monterey Park, CA",1189
6037214000,"Central LA, Los Angeles, CA",1189
6037531603,"East Los Angeles, CA",1187
6037275102,"Culver City, CA",1187
6037236100,"Baldwin Village, Los Angeles, CA",1186
6037201301,"Montecito Heights, Los Angeles, CA",1184
6037621301,"South Redondo, Redondo Beach, CA",1180
6037221120,"Central LA, Los Angeles, CA",1179
6037228420,"South Los Angeles, Los Angeles, CA",1178
6037199000,"Northeast Los Angeles, Los Angeles, CA",1177
6037197420,"Echo Park, Los Angeles, CA",1176
6037481606,"Alhambra, CA",1170
6037206010,"Central LA, Los Angeles, CA",1166
6037570402,"Coolidge Triangle, Long Beach, CA",1166
6037241400,"Harbor, Los Angeles, CA",1166
6037219800,"Los Angeles, CA",1164
6037703200,"View Park, View Park-Windsor Hills, CA",1163
6037501900,"East Whitter, Whittier, CA",1163
6037192700,"Central LA, Los Angeles, CA",1163
6037433503,"El Monte City, South El Monte, CA",1161
6037530601,"Los Angeles, CA",1161
6037651101,"Torrance, CA",1161
