"tract","Name","Individual_Income_Excluding_Spouse_rP_gP_pall"
6037570602,"Harte, Long Beach, CA",30024
6037552100,"Norwalk, CA",29972
6037553100,"Bellflower, CA",29952
6037275311,"Los Angeles, CA",29941
6037482401,"Garvey, Rosemead, CA",29932
6037208501,"Central LA, Los Angeles, CA",29916
6037550201,"Norwalk, CA",29899
6037602301,"Hawthorne, CA",29889
6037621324,"South Redondo, Redondo Beach, CA",29883
6037278001,"Westchester, Los Angeles, CA",29877
6037214501,"Central LA, Los Angeles, CA",29862
6037433306,"El Monte, CA",29856
6037553300,"Bellflower, CA",29828
6037208610,"Central LA, Los Angeles, CA",29807
6037550601,"Downey, CA",29807
6037501200,"Whittier, CA",29802
6037271901,"Mar Vista, Los Angeles, CA",29799
6037213401,"Central LA, Los Angeles, CA",29796
6037703200,"View Park, View Park-Windsor Hills, CA",29782
6037185100,"Mount Washington, Los Angeles, CA",29760
6037503502,"East Whitter, Whittier, CA",29753
6037553200,"Bellflower, CA",29752
6037531102,"Los Angeles, CA",29751
6037273402,"Venice, Los Angeles, CA",29748
6037552002,"Norwalk, CA",29726
6037207900,"Central LA, Los Angeles, CA",29673
6037191820,"Central LA, Los Angeles, CA",29652
6037533502,"Huntington Park, CA",29631
6037535701,"South Gate, CA",29609
6037197600,"Echo Park, Los Angeles, CA",29607
6037408303,"Whittier, CA",29599
6037603400,"Gardena, CA",29588
6037264102,"Brentwood, Los Angeles, CA",29564
6037572002,"Bixby Knolls, Long Beach, CA",29562
6037534700,"Huntington Park, CA",29557
6037535901,"South Gate, CA",29554
6037199201,"Montecito Heights, Los Angeles, CA",29551
6037500900,"El Rancho, Pico Rivera, CA",29535
6037554203,"Bellflower, CA",29527
6037602402,"Hawthorne, CA",29522
6037199202,"Montecito Heights, Los Angeles, CA",29522
6037550202,"Norwalk, CA",29485
6037206010,"Central LA, Los Angeles, CA",29473
6037216200,"Central LA, Los Angeles, CA",29465
6037543802,"Carson, CA",29462
6037201200,"Northeast Los Angeles, Los Angeles, CA",29459
6037271801,"Palms, Los Angeles, CA",29447
6037533503,"Huntington Park, CA",29444
6037432700,"El Monte City, El Monte, CA",29427
6037191302,"Central LA, Los Angeles, CA",29423
6037503902,"La Mirada, CA",29401
6037501002,"Whittier, CA",29393
6037234000,"Leimert Park, Los Angeles, CA",29378
6037195400,"Silver Lake, Los Angeles, CA",29373
6037432601,"El Monte City, El Monte, CA",29358
6037573401,"Signal Hill, CA",29352
6037211802,"Central LA, Los Angeles, CA",29335
6037980014,"Los Angeles County, CA",29335
6037192520,"Central LA, Los Angeles, CA",29315
6037503501,"East Whitter, Whittier, CA",29307
6037550100,"Norwalk, CA",29289
6037216401,"Central LA, Los Angeles, CA",29288
6037197500,"Echo Park, Los Angeles, CA",29280
6037571502,"Bixby North, Long Beach, CA",29273
6037265303,"Westwood, Los Angeles, CA",29254
